,Name
0,opera/Luciano Pavarotti - Ah Mes Amis.wav
1,opera/群星 - 铁砧合唱.wav
2,opera/常思思 - 炫境.wav
3,opera/Maria Callas - Caro Nome - BlueConvert.com.wav
4,opera/迪里拜尔 - 鹪鹩(小鸟)(意).wav
5,opera/中国交响乐团附属少年及女子合唱团 - 魔笛序曲(莫扎特曲).wav
6,"opera/Natalie Dessay - Giulio Cesare in Egitto, HWV 17： Atto Terzo - Scene 7：Da tempeste il legno infranto.wav"
7,opera/Vivica Genaux - Idaspe ：Qual guerriero in campo armato.wav
8,"opera/Teodor Currentzis,Wolfgang Amadeus Mozart,MusicAeterna - Le nozze di Figaro, K.492 (Dramma giocoso in quattro atti)：Non piu andrai farfallone amoroso (No. 10, Aria： Figaro).wav"
9,opera/Vienna Operatic Orchestra - Non piu andrai.wav
10,opera/迪里拜尔 - 卡迪斯姑娘(法).wav
11,"opera/Claudio Abbado - Le nozze di Figaro, K.492 ／ Appendix：Un moto di gioia (Susanna).wav"
12,opera/Giuseppe Verdi - 《茶花女》饮酒歌.wav
13,"opera/Various Artists - Man of La Mancha (I, Don Quixote).wav"
14,"opera/Peter Dorfmayr,Johannes Wolhelm,Christina Gansch - Draußen in Sievering.wav"
15,opera/Florence Foster Jenkins - Jewel Song (O Heavenly Jewels).wav
16,opera/迪里拜尔 - 华丽变奏曲 (法).wav
17,"opera/Furyl,4_Chords - 【FREE】Butterfly.wav"
18,opera/Anna NetrebkoJe veux vivrein Romeo and Juliet by Gounod (HD Paris 2007) - BlueConvert.com.wav
19,opera/莫华伦 - Di Quella Pira 柴堆上烈火浓浓 Il Trovatore By Verdi(选自威尔第《游吟诗人》).wav
20,opera/Vitas - La Donna e Mobile.wav
21,"opera/Elisabeth Schwarzkopf,Herbert von Karajan,Vienna Philharmonic Orchestra - O mio babbino caro.wav"
22,opera/Carmen L amour est un oiseau rebelle(Elina Garanca) - BlueConvert.com.wav
23,"opera/Diana Damrau,Jérémie Rhorer,Le Cercle De L'Harmonie - Die Zauberflöte：Der Hölle Rache (Königin der Nacht).wav"
24,opera/Hoelierthanthou - Eminem-D1ss（將敌TcT remix）.wav
25,"opera/Orchestre Paul Kuentz,Elisabeth Vidal - Les oiseaux dans la charmille (Extrait des Contes d'Offmann).wav"
26,opera/常思思 - 春天的芭蕾.wav
27,opera/莫华伦 - Celeste Aida 圣洁的阿依达 Aida By Verdi(选自威尔第《阿依达》).wav
28,opera/Luciano Pavarotti - E lucevan le stelle Toscaᴴᴰ - BlueConvert.com.wav
29,"opera/The Magic Flute Queen of the Night aria (Mozart; Diana Damrau, The Royal Opera) - BlueConvert.com.wav"
30,opera/兰州交响乐团 - LZSO：“斗牛士之歌”，选自歌剧《卡门》.wav
31,"opera/莫华伦 - Ah,Si Ben Mio... 我亲爱的恋人 Il Trovatore By Verdi(选自威尔第《游吟诗人》).wav"
